,date,open,high,low,close,volume,outstanding_share,turnover
0,2023-05-04,98.94,101.91,97.89,101.75,15569863.0,758622867.0,0.02052385141192956
1,2023-05-05,100.98,102.41,98.91,99.92,10968419.0,758622867.0,0.014458329002624172
2,2023-05-08,101.02,107.38,99.96,105.48,25940933.0,758622867.0,0.034194768083625406
3,2023-05-09,105.02,105.34,100.93,101.63,14761150.0,758622867.0,0.01945782369884719
4,2023-05-10,101.02,102.18,99.55,100.93,11072084.0,758622867.0,0.014594977928604938
5,2023-05-11,100.29,100.44,95.98,97.94,17527173.0,758622867.0,0.023103934461284833
6,2023-05-12,97.86,98.93,94.07,94.2,18704576.0,758622867.0,0.02465596123402908
7,2023-05-15,93.58,95.72,90.62,94.96,22099593.0,758622867.0,0.02913119807130728
8,2023-05-16,94.56,95.25,92.28,92.33,13321713.0,758622867.0,0.017560389462924007
9,2023-05-17,91.13,91.32,88.38,89.26,24762835.0,758622867.0,0.03264182517714695
10,2023-05-18,89.68,91.79,89.27,90.54,18408280.0,758622867.0,0.024265390355020764
11,2023-05-19,90.24,92.01,89.05,91.24,13252758.0,758622867.0,0.017469494496532227
12,2023-05-22,91.03,93.75,90.34,92.57,13727736.0,758622867.0,0.018095600063160237
13,2023-05-23,92.11,93.38,89.73,89.76,12777300.0,758622867.0,0.016842756204447498
14,2023-05-24,89.51,90.36,88.3,88.47,13184111.0,758622867.0,0.017379005528975176
15,2023-05-25,88.57,89.76,87.15,89.66,13517365.0,758622867.0,0.017818293631794782
16,2023-05-26,89.17,92.7,89.08,91.88,18001541.0,758622867.0,0.023729235939311595
17,2023-05-29,91.91,94.06,91.91,92.55,11275556.0,758622867.0,0.014863190249708095
18,2023-05-30,92.03,94.95,91.34,94.52,14645565.0,758622867.0,0.019305462090691238
19,2023-05-31,94.09,96.04,93.77,94.46,12526703.0,758622867.0,0.01651242474345293
20,2023-06-01,94.36,97.02,94.05,96.85,14426751.0,758622867.0,0.019017026282177704
21,2023-06-02,97.01,97.94,95.54,97.29,9885065.0,758622867.0,0.013030275555877753
22,2023-06-05,97.36,97.65,95.29,95.54,9006593.0,758622867.0,0.011872293061263601
23,2023-06-06,95.64,97.36,95.4,96.35,8566943.0,758622867.0,0.011292756088250106
24,2023-06-07,96.68,97.6,94.9,95.85,7834327.0,758622867.0,0.01032703776908428
25,2023-06-08,95.8,97.68,94.85,96.9,7954290.0,758622867.0,0.010485170360676723
26,2023-06-09,96.7,102.66,96.17,102.66,14658557.0,758622867.0,0.019322587859719763
27,2023-06-12,100.68,102.0,99.2,99.8,10116903.0,758622867.0,0.013335879315116927
28,2023-06-13,99.69,100.55,96.5,97.52,14509006.0,758622867.0,0.019125453016432734
29,2023-06-14,97.3,97.4,95.83,96.5,12200998.0,758622867.0,0.016083087566618262
30,2023-06-15,96.81,97.89,95.95,97.17,10956828.0,758622867.0,0.014443050001022445
31,2023-06-16,97.16,97.3,95.2,95.74,14497105.0,758622867.0,0.01910976537964021
32,2023-06-19,95.78,96.48,93.06,96.0,17282331.0,758622867.0,0.022781189114880713
33,2023-06-20,95.6,96.06,93.98,94.5,11650932.0,758622867.0,0.015358002647710855
34,2023-06-21,93.59,93.97,92.0,92.33,15071789.0,758622867.0,0.01986730120540909
35,2023-06-26,91.32,95.0,91.14,93.04,13407232.0,758622867.0,0.017673118730284727
36,2023-06-27,93.55,96.2,92.8,94.45,13678925.0,758622867.0,0.018031258475102094
37,2023-06-28,94.03,94.38,92.78,93.44,9122976.0,758622867.0,0.01202570657549135
38,2023-06-29,92.85,94.65,92.85,94.02,8317191.0,758622867.0,0.010963538487694966
39,2023-06-30,93.55,94.19,92.9,93.3,8252287.0,758622867.0,0.01087798346052229
40,2023-07-03,93.3,95.82,92.42,94.8,14319844.0,758622867.0,0.018876103823008014
41,2023-07-04,94.44,95.5,94.31,95.19,9382223.0,758622867.0,0.01236744027648721
42,2023-07-05,95.01,95.54,93.83,94.32,8712291.0,758622867.0,0.011484350629256738
43,2023-07-06,94.31,95.2,93.72,94.21,6211577.0,758622867.0,0.008187964363062102
44,2023-07-07,93.8,94.5,92.89,93.19,6129118.0,758622867.0,0.008079268720487963
45,2023-07-10,93.37,94.34,92.58,93.0,5378691.0,758622867.0,0.00709007233234376
46,2023-07-11,93.03,93.98,92.89,93.35,5377311.0,758622867.0,0.007088253246655693
