,date,open,high,low,close,volume,outstanding_share,turnover
0,2023-08-01,19.73,19.8,19.13,19.27,16389153.0,3152723984.0,0.005198410353451354
1,2023-08-02,19.22,19.52,19.15,19.29,9455002.0,3152723984.0,0.002998994535514023
2,2023-08-03,19.18,19.56,19.11,19.51,10692330.0,3152723984.0,0.003391457690005
3,2023-08-04,19.58,19.9,19.41,19.43,10859285.0,3152723984.0,0.0034444134834227848
4,2023-08-07,19.38,19.79,19.31,19.5,9903959.0,3152723984.0,0.003141397423390807
5,2023-08-08,19.5,19.8,19.38,19.54,8403628.0,3152723984.0,0.0026655133917996674
6,2023-08-09,19.42,19.62,19.3,19.47,7842801.0,3152723984.0,0.002487626902894776
7,2023-08-10,19.48,19.64,19.21,19.37,6723081.0,3152723984.0,0.0021324673628644554
8,2023-08-11,19.56,19.56,18.88,18.92,9020706.0,3152723984.0,0.002861241912003674
9,2023-08-14,18.92,18.95,18.15,18.51,14834539.0,3152723984.0,0.004705308512665535
10,2023-08-15,18.53,18.57,18.26,18.47,9018454.0,3152723984.0,0.002860527609067093
11,2023-08-16,18.36,18.47,18.12,18.3,7393396.0,3152723984.0,0.002345081915677145
12,2023-08-17,18.27,19.09,17.98,18.95,20775259.0,3152723984.0,0.006589621896948147
13,2023-08-18,18.94,18.99,18.42,18.45,8846518.0,3152723984.0,0.0028059919120404673
14,2023-08-21,18.37,18.87,18.31,18.44,9038614.0,3152723984.0,0.0028669220794052233
15,2023-08-22,18.51,18.66,18.18,18.52,6855591.0,3152723984.0,0.002174497683524458
16,2023-08-23,18.45,18.56,18.18,18.2,8172969.0,3152723984.0,0.0025923515796110364
17,2023-08-24,18.28,18.71,18.23,18.59,7115820.0,3152723984.0,0.0022570386865810705
18,2023-08-25,18.4,18.57,18.3,18.46,7412787.0,3152723984.0,0.0023512324699592226
19,2023-08-28,19.1,19.26,18.52,18.7,11950662.0,3152723984.0,0.0037905830198423102
20,2023-08-29,18.55,19.48,18.55,19.38,14734159.0,3152723984.0,0.004673469379106928
21,2023-08-30,19.45,19.84,19.05,19.08,15390857.0,3152723984.0,0.004881764809767121
22,2023-08-31,19.13,19.2,18.73,18.79,11214589.0,3152723984.0,0.0035571109481558724
23,2023-09-01,18.75,19.26,18.75,19.19,11978415.0,3152723984.0,0.003799385883696186
24,2023-09-04,19.19,19.34,18.98,19.21,9764679.0,3152723984.0,0.003097219753316661
25,2023-09-05,19.19,19.26,19.06,19.09,6790337.0,3152723984.0,0.0021538000264091626
26,2023-09-06,19.05,19.24,18.96,19.14,8057400.0,3152723984.0,0.002555694707462853
27,2023-09-07,19.04,19.1,18.8,18.83,6651989.0,3152723984.0,0.002109917973713743
28,2023-09-08,18.74,19.04,18.73,18.93,7471263.0,3152723984.0,0.0023697802401721445
29,2023-09-11,18.98,19.39,18.94,19.3,11083900.0,3152723984.0,0.003515658223254091
30,2023-09-12,19.38,19.5,19.25,19.33,6948421.0,3152723984.0,0.002203942062566553
31,2023-09-13,19.28,19.38,18.79,18.93,10331620.0,3152723984.0,0.0032770455176008837
32,2023-09-14,18.76,18.86,18.53,18.7,9585574.0,3152723984.0,0.003040410149650449
33,2023-09-15,18.72,18.81,18.37,18.48,8039160.0,3152723984.0,0.0025499092342997826
34,2023-09-18,18.46,19.04,18.37,18.86,13643628.0,3152723984.0,0.004327568182067663
35,2023-09-19,18.83,18.83,18.37,18.75,13743115.0,3152723984.0,0.004359124068502662
36,2023-09-20,18.73,18.83,18.59,18.62,6935853.0,3152723984.0,0.002199955668558139
37,2023-09-21,18.69,18.7,18.41,18.42,8226026.0,3152723984.0,0.002609180518734557
38,2023-09-22,18.54,18.67,18.37,18.66,6103100.0,3152723984.0,0.0019358180516191993
39,2023-09-25,18.75,19.18,18.72,19.04,15062196.0,3152723984.0,0.004777518132396077
40,2023-09-26,19.1,19.11,18.8,18.82,5284302.0,3152723984.0,0.0016761067657104485
41,2023-09-27,18.72,18.94,18.65,18.68,5908016.0,3152723984.0,0.0018739401324007563
42,2023-09-28,18.68,18.9,18.62,18.77,5658223.0,3152723984.0,0.0017947092827394178
43,2023-10-09,18.77,19.01,18.71,18.87,7470454.0,3152723984.0,0.0023695236366749447
44,2023-10-10,18.8,18.9,18.5,18.75,7794500.0,3152723984.0,0.002472306500523644
45,2023-10-11,18.74,18.8,18.33,18.4,9230855.0,3152723984.0,0.0029278982387441373
46,2023-10-12,18.44,19.05,18.4,18.9,12828852.0,3152723984.0,0.004069132618366252
47,2023-10-13,18.87,19.11,18.7,18.89,9633649.0,3152723984.0,0.0030556588679791006
48,2023-10-16,18.95,19.02,18.69,18.83,7538416.0,3152723984.0,0.0023910802335558976
49,2023-10-17,18.86,18.93,18.63,18.74,5731280.0,3152723984.0,0.0018178819424364808
50,2023-10-18,18.7,19.11,18.63,18.88,7232410.0,3152723984.0,0.0022940194056645332
51,2023-10-19,18.85,18.94,18.21,18.22,10912964.0,3152723984.0,0.0034614397122561427
52,2023-10-20,18.16,18.45,17.98,18.04,8200888.0,3152723984.0,0.0026012070963456722
53,2023-10-23,18.03,18.2,17.73,17.86,7136181.0,3152723984.0,0.002263496911310965
54,2023-10-24,17.86,18.26,17.81,18.13,10790056.0,3152723984.0,0.003422455011843498
55,2023-10-25,18.2,18.5,18.15,18.37,9566252.0,3152723984.0,0.00303428148120435
56,2023-10-26,17.71,17.9,17.03,17.54,29110712.0,3152723984.0,0.009233511131242753
57,2023-10-27,17.6,17.97,17.51,17.8,18136078.0,3152723984.0,0.005752510556598094
58,2023-10-30,17.8,17.84,17.39,17.55,11920042.0,3152723984.0,0.0037808707836442176
59,2023-10-31,17.51,17.82,17.36,17.54,12388539.0,3152723984.0,0.003929471486521352
60,2023-11-01,17.43,17.67,17.41,17.58,10920915.0,3152723984.0,0.003463961658370154
61,2023-11-02,17.61,17.74,17.5,17.52,7769400.0,3152723984.0,0.0024643451312038483
62,2023-11-03,17.58,17.85,17.48,17.71,8917311.0,3152723984.0,0.002828446462568605
63,2023-11-06,17.78,17.91,17.66,17.87,13095346.0,3152723984.0,0.004153660791892526
64,2023-11-07,17.83,18.02,17.58,17.65,10728004.0,3152723984.0,0.0034027729843920267
65,2023-11-08,17.67,17.68,17.38,17.57,10070840.0,3152723984.0,0.00319432974504247
66,2023-11-09,17.55,17.55,17.26,17.45,9712243.0,3152723984.0,0.0030805877867169486
