,date,open,high,low,close,volume,outstanding_share,turnover
0,2020-01-02,65.3,68.9,64.35,66.93,2939391.0,48366440.0,0.060773358551921536
1,2020-01-03,66.9,68.09,65.22,66.24,2783526.0,48366440.0,0.057550772808583804
2,2020-01-06,64.04,67.04,64.04,64.92,2461936.0,48366440.0,0.0509017409592271
3,2020-01-07,65.24,69.21,64.34,68.12,3814453.0,48366440.0,0.07886569695846955
4,2020-01-08,68.12,71.92,67.15,69.5,3856527.0,48366440.0,0.07973559765821094
5,2020-01-09,69.49,76.45,69.09,76.45,3967868.0,48366440.0,0.08203762774353457
6,2020-01-10,79.91,84.1,79.39,84.1,6713434.0,48366440.0,0.1388035588312888
7,2020-01-13,86.21,90.14,77.09,88.1,5262164.0,48366440.0,0.10879783585477865
8,2020-01-14,86.97,96.35,84.56,91.67,4605690.0,48366440.0,0.0952249121498295
9,2020-01-15,91.67,100.83,90.67,100.83,3951628.0,48366440.0,0.08170185773441253
10,2020-01-16,101.92,110.92,97.32,110.92,4759367.0,48366440.0,0.09840225991410573
11,2020-01-17,113.55,117.2,102.44,105.26,5415304.0,48366440.0,0.11196408087922122
12,2020-01-20,101.42,108.08,100.91,106.64,4912253.0,80000000.0,0.0614031625
13,2020-01-21,105.64,115.2,102.73,107.18,4865488.0,80000000.0,0.0608186
14,2020-01-22,101.93,117.9,100.91,115.19,5531236.0,80000000.0,0.06914045
15,2020-01-23,109.1,112.64,103.67,103.67,4234161.0,80000000.0,0.0529270125
16,2020-02-03,93.3,93.3,93.3,93.3,112700.0,80000000.0,0.00140875
17,2020-02-04,83.97,100.38,83.97,95.58,5235209.0,80000000.0,0.0654401125
18,2020-02-05,94.76,104.49,94.76,101.22,4048876.0,80000000.0,0.05061095
19,2020-02-06,99.88,103.93,99.37,101.93,3333755.0,80000000.0,0.0416719375
20,2020-02-07,100.74,112.12,99.86,112.12,4314923.0,80000000.0,0.0539365375
21,2020-02-10,110.64,122.0,110.39,112.62,3597511.0,80000000.0,0.0449688875
22,2020-02-11,112.69,120.5,108.49,117.71,3110638.0,80000000.0,0.038882975
23,2020-02-12,117.31,125.13,116.04,120.33,3593614.0,80000000.0,0.044920175
24,2020-02-13,119.43,121.86,116.17,117.48,3056189.0,80000000.0,0.0382023625
